"Chapter_Title","findingNumber","chapterNumber","figureOfChapter","Finding_Text","Finding_ID"
"Northwest","21.4",21,4,"While agriculture’s technical ability to adapt to changing conditions can offset some of the adverse impacts of a changing climate, there remain critical concerns for agriculture with respect to costs of adaptation, development of more climate resilient technologies and management, and availability and timing of water.","http://data.globalchange.gov/report/nca3/chapter/northwest/finding/agricultures-technical-ability-to-adapt"
"Alaska","22.1",22,1,"Arctic summer sea ice is receding faster than previously projected and is expected to virtually disappear before mid-century. This is altering marine ecosystems and leading to greater ship access, offshore development opportunity, and increased community vulnerability to coastal erosion.","http://data.globalchange.gov/report/nca3/chapter/alaska/finding/summer-sea-ice-reduction-effects"
"Alaska","22.2",22,2,"Most glaciers in Alaska and British Columbia are shrinking substantially. This trend is expected to continue and has implications for hydropower production, ocean circulation patterns, fisheries, and global sea level rise.","http://data.globalchange.gov/report/nca3/chapter/alaska/finding/glacier-shrinkage-implications"
"Alaska","22.3",22,3,"Permafrost temperatures in Alaska are rising, a thawing trend that is expected to continue, causing multiple vulnerabilities through drier landscapes, more wildfire, altered wildlife habitat, increased cost of maintaining infrastructure, and the release of heat-trapping gases that increase climate warming.","http://data.globalchange.gov/report/nca3/chapter/alaska/finding/rising-permafrost-temperature-effects"
"Alaska","22.4",22,4,"Current and projected increases in Alaska’s ocean temperatures and changes in ocean chemistry are expected to alter the distribution and productivity of Alaska’s marine fisheries, which lead the U.S. in commercial value.","http://data.globalchange.gov/report/nca3/chapter/alaska/finding/ocean-temp-chem-affect-fisheries"
"Alaska","22.5",22,5,"The cumulative effects of climate change in Alaska strongly affect Native communities, which are highly vulnerable to these rapid changes but have a deep cultural history of adapting to change.","http://data.globalchange.gov/report/nca3/chapter/alaska/finding/climate-change-affects-alaska-native"
"Hawai'i and U.S. Affiliated Pacific Islands","23.1",23,1,"Warmer oceans are leading to increased coral bleaching events and disease outbreaks in coral reefs, as well as changed distribution patterns of tuna fisheries. Ocean acidification will reduce coral growth and health. Warming and acidification, combined with existing stresses, will strongly affect coral reef fish communities. ","http://data.globalchange.gov/report/nca3/chapter/hawaii/finding/ocean-warming-acidity-affect-fish"
"Hawai'i and U.S. Affiliated Pacific Islands","23.2",23,2,"Freshwater supplies are already constrained and will become more limited on many islands. Saltwater intrusion associated with sea level rise will reduce the quantity and quality of freshwater in coastal aquifers, especially on low islands. In areas where precipitation does not increase, freshwater supplies will be adversely affected as air temperature rises.","http://data.globalchange.gov/report/nca3/chapter/hawaii/finding/freshwater-supplies-more-limited"
"Hawai'i and U.S. Affiliated Pacific Islands","23.3",23,3,"Increasing temperatures, and in some areas reduced rainfall, will stress native Pacific Island plants and animals, especially in high-elevation ecosystems with increasing exposure to invasive species, increasing the risk of extinctions.","http://data.globalchange.gov/report/nca3/chapter/hawaii/finding/increasing-temps-stress-plants-animals"
"Hawai'i and U.S. Affiliated Pacific Islands","23.4",23,4,"Rising sea levels, coupled with high water levels caused by tropical and extra-tropical storms, will incrementally increase coastal flooding and erosion, damaging coastal ecosystems, infrastructure, and agriculture, and negatively affecting tourism. ","http://data.globalchange.gov/report/nca3/chapter/hawaii/finding/rising-sea-water-damages"
"Hawai'i and U.S. Affiliated Pacific Islands","23.5",23,5,"Mounting threats to food and water security, infrastructure, and public health and safety are expected to lead to increasing human migration from low to high elevation islands and continental sites, making it increasingly difficult for Pacific Islanders to sustain the region’s many unique customs, beliefs, and languages.","http://data.globalchange.gov/report/nca3/chapter/hawaii/finding/effects-of-human-island-migration"
"Oceans and Marine Resources","24.1",24,1,"The rise in ocean temperature over the last century will persist into the future, with continued large impacts on climate, ocean circulation, chemistry, and ecosystems.","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/increased-ocean-temp-impacts"
"Oceans and Marine Resources","24.2",24,2,"The ocean currently absorbs about a quarter of human-caused carbon dioxide emissions to the atmosphere, leading to ocean acidification that will alter marine ecosystems in dramatic yet uncertain ways.","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/ocean-acidity-increase-alters-marine"
"Oceans and Marine Resources","24.3",24,3,"Significant habitat loss will continue to occur due to climate change for many species and areas, including Arctic and coral reef ecosystems, while habitat in other areas and for other species will expand. These changes will consequently alter the distribution, abundance, and productivity of many marine species.","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/marine-habitat-loss-and-expansion"
"Oceans and Marine Resources","24.4",24,4,"Rising sea surface temperatures have been linked with increasing levels and ranges of diseases in humans and in marine life, including corals, abalones, oysters, fishes, and marine mammals.","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/sea-surface-temp-up-increase-disease"
"Oceans and Marine Resources","24.5",24,5,"Climate changes that result in conditions substantially different from recent history may significantly increase costs to businesses as well as disrupt public access and enjoyment of ocean areas.","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/climate-change-affects-ocean-uses"
"Oceans and Marine Resources","24.6",24,6,"In response to observed and projected climate impacts, some existing ocean policies, practices, and management efforts are incorporating climate change impacts. These initiatives can serve as models for other efforts and ultimately enable people and communities to adapt to changing ocean conditions.","http://data.globalchange.gov/report/nca3/chapter/oceans-marine-resources/finding/ocean-management-adaptations"
"Coastal Zone Development and Ecosystems","25.1",25,1,"Coastal lifelines, such as water supply and energy infrastructure and evacuation routes, are increasingly vulnerable to higher sea levels and storm surges, inland flooding, erosion, and other climate-related changes.","http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-lifelines-vulnerable"
"Coastal Zone Development and Ecosystems","25.2",25,2,"Nationally important assets, such as ports, tourism and fishing sites, in already-vulnerable coastal locations, are increasingly exposed to sea level rise and related hazards. This threatens to disrupt economic activity within coastal areas and the regions they serve and results in significant costs from protecting or moving these assets.","http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/important-assets-increasingly-exposed"
"Coastal Zone Development and Ecosystems","25.3",25,3,"Socioeconomic disparities create uneven exposures and sensitivities to growing coastal risks and limit adaptation options for some coastal communities, resulting in the displacement of the most vulnerable people from coastal areas.","http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-socioeconomic-disparities"
"Coastal Zone Development and Ecosystems","25.4",25,4,"Coastal ecosystems are particularly vulnerable to climate change because many have already been dramatically altered by human stresses; climate change will result in further reduction or loss of the services that these ecosystems provide, including potentially irreversible impacts.","http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-ecosystems-vulnerable"
"Coastal Zone Development and Ecosystems","25.5",25,5,"Leaders and residents of coastal regions are increasingly aware of the high vulnerability of coasts to climate change and are developing plans to prepare for potential impacts on citizens, businesses, and environmental assets. Significant institutional, political, social, and economic obstacles to implementing adaptation actions remain.","http://data.globalchange.gov/report/nca3/chapter/coastal-zone/finding/coastal-planning-adaptation"
"Decision Support: Connecting Science, Risk Perception, and Decisions","26.1",26,1,"Decisions about how to address climate change can be complex, and responses will require a combination of adaptation and mitigation actions. Decision-makers – whether individuals, public officials, or others – may need help integrating scientific information into adaptation and mitigation decisions.","http://data.globalchange.gov/report/nca3/chapter/decision-support/finding/integrating-scientific-information-into-decisions"
"Decision Support: Connecting Science, Risk Perception, and Decisions","26.2",26,2,"To be effective, decision support processes need to take account of the values and goals of the key stakeholders, evolving scientific information, and the perceptions of risk.","http://data.globalchange.gov/report/nca3/chapter/decision-support/finding/effective-decision-support-processes"
"Decision Support: Connecting Science, Risk Perception, and Decisions","26.3",26,3,"Many decision support processes and tools are available. They can enable decision-makers to identify and assess response options, apply complex and uncertain information, clarify tradeoffs, strengthen transparency, and generate information on the costs and benefits of different choices.","http://data.globalchange.gov/report/nca3/chapter/decision-support/finding/decision-support-processes-tools-available"
"Decision Support: Connecting Science, Risk Perception, and Decisions","26.4",26,4,"Ongoing assessment processes should incorporate evaluation of decision support tools, their accessibility to decision-makers, and their application in decision processes in different sectors and regions.","http://data.globalchange.gov/report/nca3/chapter/decision-support/finding/ongoing-assessment-evaluation-accessibility-application"
"Decision Support: Connecting Science, Risk Perception, and Decisions","26.5",26,5,"Steps to improve collaborative decision processes include developing new decision support tools and building human capacity to bridge science and decision-making.","http://data.globalchange.gov/report/nca3/chapter/decision-support/finding/steps-to-improve-decision-processes"
"Mitigation","27.1",27,1,"Carbon dioxide is removed from the atmosphere by natural processes at a rate that is roughly half of the current rate of emissions from human activities. Therefore, mitigation efforts that only stabilize global emissions will not reduce atmospheric concentrations of carbon dioxide, but will only limit their rate of increase. The same is true for other long-lived greenhouse gases.","http://data.globalchange.gov/report/nca3/chapter/mitigation/finding/natural-processes-rate-to-reduce-co2-concentration"
"Mitigation","27.2",27,2,"To meet the lower emissions scenario (B1) used in this assessment, global mitigation actions would need to limit global carbon dioxide emissions to a peak of around 44 billion tons per year within the next 25 years and decline thereafter. In 2011, global emissions were around 34 billion tons, and have been rising by about 0.9 billion tons per year for the past decade. Therefore, the world is on a path to exceed 44 billion tons per year within a decade.","http://data.globalchange.gov/report/nca3/chapter/mitigation/finding/limit-carbon-dioxide-emission-need"
"Mitigation","27.3",27,3,"Over recent decades, the U.S. economy has emitted a decreasing amount of carbon dioxide per dollar of gross domestic product. Between 2008 and 2012, there was also a decline in the total amount of carbon dioxide emitted annually from energy use in the United States as a result of a variety of factors, including changes in the economy, the development of new energy production technologies, and various government policies.","http://data.globalchange.gov/report/nca3/chapter/mitigation/finding/economy-emitted-decreasing-carbon-dioxide"
"Mitigation","27.4",27,4,"Carbon storage in land ecosystems, especially forests, has offset around 17% of annual U.S. fossil fuel emissions of greenhouse gases over the past several decades, but this carbon “sink” may not be sustainable.","http://data.globalchange.gov/report/nca3/chapter/mitigation/finding/carbon-sink-may-not-be-sustainable"
"Mitigation","27.5",27,5,"Both voluntary activities and a variety of policies and measures that lower emissions are currently in place at federal, state, and local levels in the United States, even though there is no comprehensive national climate legislation. Over the remainder of this century, aggressive and sustained greenhouse gas emission reductions by the United States and by other nations would be needed to reduce global emissions to a level consistent with the lower scenario (B1) analyzed in this assessment.","http://data.globalchange.gov/report/nca3/chapter/mitigation/finding/aggressive-emission-reductions-needed"
"Adaptation","28.1",28,1,"Substantial adaptation planning is occurring in the public and private sectors and at all levels of government; however, few measures have been implemented and those that have appear to be incremental changes.","http://data.globalchange.gov/report/nca3/chapter/adaptation/finding/adaptation-plans-to-implementation"
"Adaptation","28.2",28,2,"Barriers to implementation of adaptation include limited funding, policy and legal impediments, and difficulty in anticipating climate-related changes at local scales.","http://data.globalchange.gov/report/nca3/chapter/adaptation/finding/barriers-to-implementing-adaptation"
"Adaptation","28.3",28,3,"There is no ""one-size fits all” adaptation, but there are similarities in approaches across regions and sectors. Sharing best practices, learning by doing, and iterative and collaborative processes including stakeholder involvement, can help support progress.","http://data.globalchange.gov/report/nca3/chapter/adaptation/finding/no-one-size-fits-all-adaptation"
"Adaptation","28.4",28,4,"Climate change adaptation actions often fulfill other societal goals, such as sustainable development, disaster risk reduction, or improvements in quality of life, and can therefore be incorporated into existing decision-making processes.","http://data.globalchange.gov/report/nca3/chapter/adaptation/finding/incorporate-climate-change-in-goals"
"Adaptation","28.5",28,5,"Vulnerability to climate change is exacerbated by other stresses such as pollution,  habitat fragmentation, and poverty. Adaptation to multiple stresses requires assessment of the composite threats as well as tradeoffs amongst costs, benefits, and risks of available options. ","http://data.globalchange.gov/report/nca3/chapter/adaptation/finding/other-stress-exacerbate-vulnerability"
"Adaptation","28.6",28,6,"The effectiveness of climate change adaptation has seldom been evaluated, because actions have only recently been initiated and comprehensive evaluation metrics do not yet exist. ","http://data.globalchange.gov/report/nca3/chapter/adaptation/finding/adaptation-recent-seldom-evaluated"
"Appendix 3: Climate Science Supplement","33.1",33,1,"Although climate changes in the past have been caused by natural factors, human activities are now the dominant agents of change. Human activities are affecting climate through increasing atmospheric levels of heat-trapping gases and other substances, including particles.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/human-activities-affecting-climate"
"Appendix 3: Climate Science Supplement","33.2",33,2,"Global trends in temperature and many other climate variables provide consistent evidence of a warming planet. These trends are based on a wide range of observations, analyzed by many independent research groups around the world.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/consistent-evidence-of-warming-planet"
"Appendix 3: Climate Science Supplement","33.3",33,3,"Natural variability, including El Niño events and other recurring patterns of ocean-atmosphere interactions, influences global and regional temperature and precipitation over timescales ranging from months up to a decade or more.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/natural-variability-influences-temperature-precipitation"
"Appendix 3: Climate Science Supplement","33.4",33,4,"Human-induced increases in atmospheric levels of heat-trapping gases are the main cause of observed climate change over the past 50 years. The “fingerprints” of human-induced change also have been identified in many other aspects of the climate system, including changes in ocean heat content, precipitation, atmospheric moisture, and Arctic sea ice.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/fingerprints-of-human-induced-change"
"Appendix 3: Climate Science Supplement","33.5",33,5,"Past emissions of heat-trapping gases have already committed the world to a certain amount of future climate change. How much more the climate will change depends on future emissions and the sensitivity of the climate system to those emissions.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/climate-change-depends-on-emissions"
"Appendix 3: Climate Science Supplement","33.6",33,6,"Different kinds of physical and statistical models are used to study aspects of past climate and develop projections of future change. No model is perfect, but many of them provide useful information. By combining and averaging multiple models, many clear trends emerge.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/models-used-to-study-climate"
"Appendix 3: Climate Science Supplement","33.7",33,7,"Scientific understanding of observed temperature changes in the U.S. has greatly improved, confirming that the U.S. is warming due to heat-trapping gas emissions, consistent with the climate change observed globally.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/scientific-understanding-has-improved"
"Appendix 3: Climate Science Supplement","33.8",33,8,"Many other indicators of rising temperatures have been observed in the United States. These include reduced lake ice, glacier retreat, earlier melting of snowpack, reduced lake levels, and a longer growing season. These and other indicators are expected to continue to reflect higher temperatures.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/indicators-of-rising-temperatures-observed"
"Appendix 3: Climate Science Supplement","33.9",33,9,"Trends in some types of extreme weather events have been observed in recent decades, consistent with rising temperatures. These include increases in: heavy precipitation nationwide, especially in the Midwest and Northeast; heat waves, especially in the West; and the intensity of Atlantic hurricanes. These trends are expected to continue. Research on climate changes’ effects on other types of extreme events continues.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/trends-in-extreme-weather-events"
"Appendix 3: Climate Science Supplement","33.10",33,10,"Drought and fire risk are increasing in many regions as temperatures and evaporation rates rise. The greater the future warming, the more these risks will increase, potentially affecting the entire United States.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/drought-fire-risk-increasing"
"Appendix 3: Climate Science Supplement","33.11",33,11,"Summer Arctic sea ice extent, volume, and thickness have declined rapidly, especially north of Alaska. Permafrost temperatures are rising and the overall amount of permafrost is shrinking. Melting of land- and sea-based ice is expected to continue with further warming.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/arctic-sea-ice-declined-rapidly"
"Appendix 3: Climate Science Supplement","33.12",33,12,"Sea level is already rising at the global scale and at individual locations along the U.S. coast. Future sea level rise depends on the amount of warming and ice melt around the world as well as local processes like changes in ocean currents and local land subsidence or uplift.","http://data.globalchange.gov/report/nca3/chapter/appendix-climate-science-supplement/finding/sea-level-rising-global-local"
